,48,49,50
0,147,60,124
1,64,419,92
2,70,153,85
3,245,63,57
4,254,105,432
5,193,630,187
6,147,123,102
7,56,190,57
8,72,509,447
9,99,417,152
10,72,263,683
11,169,143,118
12,118,287,81
13,214,324,89
14,185,102,124
15,127,1072,262
16,51,600,83
17,206,109,144
18,367,114,119
19,66,149,83
20,230,144,132
21,220,225,485
22,69,102,270
23,134,319,731
24,142,91,90
25,195,135,67
26,75,162,304
27,80,264,86
28,97,202,621
29,87,64,83
30,271,208,68
31,224,73,74
32,352,86,334
33,125,123,339
34,231,233,138
35,131,1656,66
36,85,65,129
37,190,116,137
38,63,51,126
39,534,363,88
40,80,655,372
41,150,374,131
42,57,97,157
43,131,484,313
44,121,58,70
45,60,109,144
46,197,403,57
47,59,95,384
48,125,112,416
49,190,97,196
50,134,198,234
51,123,288,162
52,79,338,242
53,257,68,222
54,64,91,90
55,137,108,95
56,150,131,172
57,130,136,288
58,52,56,318
59,178,67,114
60,82,101,110
61,77,118,358
62,109,78,103
63,913,147,278
64,88,189,124
65,289,89,174
66,187,82,170
67,145,145,57
68,103,174,201
69,112,105,414
70,90,132,192
71,291,118,75
72,130,99,1057
73,281,397,160
74,1003,233,635
75,55,97,89
76,114,172,1124
77,138,78,421
78,391,136,160
79,230,67,67
80,212,73,244
81,98,189,193
82,67,56,126
83,113,197,207
84,167,125,133
85,65,60,463
86,80,148,271
87,149,163,1782
88,236,88,445
89,60,77,219
90,684,111,472
91,107,162,173
92,90,105,220
93,699,69,286
94,421,109,71
95,180,358,57
96,70,86,222
97,68,55,68
98,77,398,411
99,131,101,105
100,93,745,388
101,115,111,87
102,197,180,61
103,78,180,256
104,71,156,111
105,72,264,157
106,108,322,132
107,75,298,422
108,51,249,90
109,111,53,88
110,48,338,137
111,97,166,72
112,53,201,155
113,65,143,1333
114,133,242,313
115,51,470,464
116,110,66,116
117,219,127,252
118,49,112,103
119,78,205,167
120,74,103,109
121,235,62,467
122,151,67,54
123,223,141,130
124,199,136,417
125,95,89,263
126,97,105,77
127,128,111,54
128,117,63,82
129,218,88,11721
130,130,152,140
131,196,851,260
132,108,196,57
133,58,167,135
134,79,78,64
135,84,331,89
136,52,90,130
137,272,158,160
138,99,165,456
139,80,200,401
140,70,92,374
141,84,89,91
142,68,252,79
143,110,69,135
144,67,223,164
145,123,687,410
146,147,259,317
147,103,209,204
148,58,74,105
149,50,64,70
150,263,182,110
151,200,272,320
152,110,139,383
153,53,121,268
154,104,74,982
155,110,154,174
156,275,569,371
157,55,122,108
158,62,74,1431
159,109,71,116
160,81,75,180
161,263,83,378
162,82,89,89
163,155,133,415
164,137,247,201
165,400,173,628
166,142,499,94
167,103,184,158
168,289,86,403
169,56,61,160
170,179,255,176
171,103,329,118
172,81,138,94
173,138,66,6810
