,48,49,50
0,6,4,5
1,6,7,5
2,5,5,5
3,4,5,8
4,5,5,5
5,4,5,6
6,4,5,6
7,4,4,6
8,4,5,7
9,5,5,10
10,5,4,7
11,4,5,6
12,6,4,4
13,4,4,6
14,5,4,5
15,5,5,6
16,4,7,4
17,5,4,8
18,5,5,7
19,5,6,5
20,4,6,4
21,4,4,5
22,5,5,7
23,4,5,5
24,5,4,6
25,5,3,6
26,4,7,6
27,5,5,5
28,5,5,4
29,5,6,5
30,5,6,7
31,2,6,6
32,5,5,6
33,4,7,7
34,4,7,7
35,5,5,5
36,4,5,5
37,3,6,6
38,6,4,5
39,4,5,6
40,5,5,5
41,5,5,5
42,4,5,5
43,4,5,6
44,5,5,4
45,4,6,4
46,6,4,5
47,5,5,6
48,5,6,7
49,5,4,6
50,4,5,4
51,4,5,5
52,4,5,4
53,5,5,7
54,6,5,5
55,4,6,8
56,3,6,4
57,4,3,5
58,5,5,6
59,4,4,5
60,5,5,5
61,5,5,7
62,5,5,2320
63,5,4,6
64,5,5,5
65,6,4,5
66,6,4,4
67,5,5,4
68,5,5,4
69,8,8,5
70,3,7,5
71,4,4,7
72,5,5,8
73,7,4,7
74,4,5,7
75,5,5,5
76,4,6,5
77,5,4,4
78,5,4,5
79,4,5,5
80,5,5,4
81,5,6,5
82,3,5,5
83,4,4,6
84,4,7,6
85,5,4,4
86,5,6,5
87,5,4,7
88,4,5,5
89,4,5,6
90,5,5,5
91,5,5,4
92,4,5,5
93,8,4,4
94,5,5,4
95,6,4,5
96,5,12,5
97,4,4,6
98,4,5,4
99,6,5,7
100,6,4,6
101,4,5,7
102,4,6,4
103,5,6,6
104,5,5,5
105,4,7,6
106,5,14,5
107,4,6,4
108,5,5,5
109,4,5,8
110,5,7,14
111,4,6,4
112,5,6,6
113,6,6,6
114,4,4,5
115,4,4,5
116,3,6,4
117,4,4,6
118,4,5,6
119,6,6,7
120,3,4,4
121,5,6,5
122,6,5,4
123,7,5,7
124,4,5,6
125,3,8,7
126,6,4,4
127,5,4,4
128,4,5,5
129,4,4,6
130,7,5,5
131,4,6,7
132,4,5,5
133,3,5,5
134,4,5,4
135,5,14,4
136,3,4,6
137,5,4,4
138,4,10,5
139,4,4,5
140,5,5,5
141,4,4,5
142,6,4,6
143,5,7,5
144,4,4,6
145,5,6,4
146,4,5,8
147,4,4,5
148,5,5,4
149,5,3,6
150,4,5,6
151,4,5,8
152,6,4,7
153,3,5,6
154,5,6,5
155,5,7,6
156,4,5,6
157,3,5,8
158,4,4,8
159,6,4,4
160,4,5,5
161,5,5,6
162,6,5,4
163,4,5,4
164,5,5,5
165,4,4,6
166,4,5,4
167,6,6,6
168,6,5,6
169,5,5,4
170,5,7,4
171,5,5,5
172,5,7,6
173,4,3,7
174,6,4,6
175,4,5,11
176,5,5,6
177,7,6,6
178,6,4,6
179,6,5,5
180,5,4,5
181,4,7,8
182,5,7,6
183,4,5,4
184,4,6,4
185,5,7,6
186,5,5,5
187,6,5,5
188,4,5,6
189,5,5,4
190,4,5,5
191,5,5,5
192,3,6,6
193,5,5,7
194,5,8,5
195,4,5,4
196,4,5,4
197,6,8,4
198,4,5,7
199,5,7,5
200,4,5,7
201,4,4,6
202,4,4,10
203,4,4,7
204,3,6,6
205,4,5,5
206,4,5,5
207,4,4,5
208,5,4,5
209,5,4,5
210,5,6,6
211,4,5,4
212,4,5,5
213,4,5,6
214,4,4,6
215,6,5,4
216,3,5,4
217,4,4,5
218,4,6,5
219,4,5,4
220,8,4,7
221,5,6,5
222,4,6,6
223,5,5,5
224,4,5,5
225,6,6,5
226,5,5,4
227,5,6,5
228,4,6,7
229,6,9,4
230,6,5,5
231,5,4,5
232,5,4,6
233,5,4,7
234,4,5,5
235,4,6,5
236,5,5,7
237,5,4,4
238,6,7,6
239,4,4,5
240,4,4,5
241,5,5,6
242,4,4,4
243,6,6,4
244,4,6,4
245,5,6,6
246,6,5,6
247,4,5,6
248,5,6,10
249,5,4,5
250,6,4,5
251,4,4,6
252,5,4,6
253,4,7,5
254,5,5,4
255,4,6,8
256,4,7,5
257,4,6,5
258,5,5,5
259,4,4,5
260,4,5,6
261,4,5,4
262,5,5,6
263,4,4,5
264,7,5,7
265,5,4,4
266,3,4,5
267,4,5,6
268,4,5,5
269,4,5,6
270,4,6,6
271,5,4,6
272,4,6,4
273,6,6,7
274,4,5,4
275,5,7,7
276,5,7,8
277,4,5,4
278,4,5,5
279,3,4,5
280,4,7,7
281,5,6,6
282,5,5,6
283,5,4,5
284,7,4,5
285,5,5,4
286,5,6,7
287,5,4,7
288,5,5,7
289,4,5,5
290,5,5,5
291,4,5,7
292,4,7,6
293,5,5,5
294,4,6,4
295,6,4,5
